signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days
2026-04-10,600105,永鼎股份,1,8225.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,34.65,38.1,38.1,33.98,2331300.0,9.99,26.12,25.78,1.0,1.37,13.96,23.32,32.21,0.0,0.0,True,False,0.0
2026-04-10,002580,圣阳股份,2,5904.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,17.25,18.98,18.98,16.84,1879909.0,10.03,17.96,11.12,1.0,1.68,13.83,12.51,23.0,-2.01,0.0,True,False,0.0
2026-04-10,002475,立讯精密,3,5492.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,55.42,58.18,59.18,54.9,3868969.0,5.61,20.23,16.62,0.766,2.61,10.72,13.71,16.42,-3.55,0.234,False,False,0.0
2026-04-10,002328,新朋股份,4,4984.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,9.78,10.11,10.11,9.66,719998.0,10.01,22.99,36.62,1.0,0.86,15.62,25.7,36.95,0.0,0.0,True,False,0.0
2026-04-10,002384,东山精密,5,4553.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,132.3,143.55,145.09,132.27,1449445.0,8.83,31.69,35.11,0.88,2.7,16.72,25.8,28.1,-1.06,0.12,False,False,0.0
2026-04-10,300308,中际旭创,6,4542.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,700.0,734.65,743.04,694.01,330801.0,6.16,18.77,26.45,0.829,1.22,10.02,17.05,21.09,-1.13,0.171,False,False,0.0
2026-04-10,603538,美诺华,7,4471.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,47.46,49.59,50.05,44.51,905061.0,8.99,26.15,17.18,0.917,1.24,13.93,17.25,40.98,-0.92,0.083,False,False,0.0
2026-04-10,601869,长飞光纤,8,4256.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,392.0,384.38,396.53,370.0,248833.0,-3.5,7.64,15.61,0.542,1.26,3.64,13.71,34.92,-3.5,0.171,False,False,0.0
2026-04-10,001309,德明利,9,4095.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,428.0,447.24,447.24,423.0,232257.0,10.0,18.26,24.18,1.0,1.4,13.09,15.55,21.4,0.0,0.0,True,False,0.0
2026-04-10,002263,大东南,10,3813.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,4.31,4.9,4.9,4.31,4212278.0,10.11,-0.2,3.59,1.0,0.82,3.68,8.07,22.36,-5.41,0.0,True,False,0.0
2026-04-10,603778,国晟科技,11,3533.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,33.0,31.24,33.19,30.4,1167588.0,-4.87,-0.98,7.13,0.301,0.86,-0.09,9.12,20.38,-8.84,0.068,False,False,0.0
2026-04-10,601138,工业富联,12,3468.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,55.6,56.52,57.27,55.33,1909441.0,2.73,7.49,8.69,0.613,1.21,3.55,6.95,9.33,-11.69,0.387,False,False,0.0
2026-04-10,600010,包钢股份,13,3297.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,2.92,2.83,2.94,2.8,12240826.0,-1.39,1.43,8.02,0.214,0.94,1.22,5.4,6.23,-17.01,0.143,False,False,0.0
2026-04-10,000988,华工科技,14,3283.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,117.0,115.92,117.68,113.9,1004298.0,0.86,11.25,15.53,0.534,1.29,5.57,7.93,4.51,-18.03,0.18,False,False,0.0
2026-04-10,002074,国轩高科,15,3179.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,35.7,38.81,38.81,35.68,1048988.0,10.01,14.82,11.52,1.0,3.71,9.93,8.55,5.92,-7.81,0.0,True,False,0.0
2026-04-10,600666,奥瑞德,16,2945.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,6.56,6.3,6.83,6.3,5795423.0,-3.96,6.6,2.11,0.0,1.03,1.12,2.26,16.97,-11.89,0.509,False,False,0.0
