strategy_version,signal_date,code,name,rank,push_level,emotion_score,is_pushed,capture_type,snapshot_time,reasons,risks,price_date,signal_close,latest_price_date,observed_days,latest_return_pct,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,tail_next_max_drawdown_pct,settled_tail_next_day,return_1d_pct,max_gain_1d_pct,max_drawdown_1d_pct,settled_1d,return_3d_pct,max_gain_3d_pct,max_drawdown_3d_pct,settled_3d,return_5d_pct,max_gain_5d_pct,max_drawdown_5d_pct,settled_5d,return_10d_pct,max_gain_10d_pct,max_drawdown_10d_pct,settled_10d
v1,2026-05-06,002580,圣阳股份,16,重点观察,89.0,True,intraday_1430,2026-05-06 14:30:00,人气Top20；当日涨停附近；收在日内高位；近5日趋势升温；首次上榜即强势；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正,偏离20日线较大,2026-05-06,32.9,2026-05-08,2,0.0,-10.64,-9.09,-5.2,-11.25,True,-9.09,-5.2,-11.25,True,,,,False,,,,False,,,,False
v1,2026-05-06,603618,杭电股份,36,重点观察,79.0,True,intraday_1430,2026-05-06 14:30:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；市场强势且个股相对强势；v2低分涨停修正,偏离20日线较大,2026-05-06,37.62,2026-05-08,2,0.0,-13.29,-9.09,-9.09,-13.74,True,-9.09,-9.09,-13.74,True,,,,False,,,,False,,,,False
v1,2026-05-06,002342,巨力索具,46,普通观察,67.0,True,intraday_1430,2026-05-06 14:30:00,人气Top50；当日强涨；收在日内高位；温和放量；近5日趋势升温；市场强势且个股相对强势,偏离20日线较大,2026-05-06,23.8,2026-05-08,2,-7.1,-16.39,-7.06,-7.06,-16.97,True,-7.06,-7.06,-16.97,True,,,,False,,,,False,,,,False
v1,2026-05-06,600589,大位科技,79,普通观察,67.0,True,intraday_1430,2026-05-06 14:30:00,当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v2低分涨停修正,-,2026-05-06,12.51,2026-05-08,2,0.0,-11.43,-9.11,-8.87,-12.63,True,-9.11,-8.87,-12.63,True,,,,False,,,,False,,,,False
v1,2026-05-06,000815,美利云,35,普通观察,63.0,True,intraday_1430,2026-05-06 14:30:00,人气Top50；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,23.08,2026-05-08,2,-0.52,-7.28,-4.12,-0.35,-8.58,True,-4.12,-0.35,-8.58,True,,,,False,,,,False,,,,False
v1,2026-05-06,600118,中国卫星,90,普通观察,63.0,True,intraday_1430,2026-05-06 14:30:00,当日强涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,115.51,2026-05-08,2,-1.15,-6.16,-7.11,-5.67,-8.93,True,-7.11,-5.67,-8.93,True,,,,False,,,,False,,,,False
v1,2026-05-06,601991,大唐发电,6,普通观察,62.0,True,intraday_1430,2026-05-06 14:30:00,人气Top10；当日涨停附近；收在日内高位；近5日强势延续；首次上榜即强势；市场强势且个股相对强势,放量过猛；短线涨幅偏高；偏离20日线较大,2026-05-06,5.54,2026-05-08,2,0.0,-10.11,-9.03,-9.03,-11.91,True,-9.03,-9.03,-11.91,True,,,,False,,,,False,,,,False
v1,2026-05-06,002428,云南锗业,21,不推送,61.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；当日强涨；收盘承接较强；温和放量；近5日趋势升温；市场强势且个股相对强势,偏离20日线较大,2026-05-06,86.2,2026-05-08,2,-0.15,-10.66,-6.96,-5.46,-12.75,True,-6.96,-5.46,-12.75,True,,,,False,,,,False,,,,False
v1,2026-05-06,002475,立讯精密,54,不推送,61.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,71.64,2026-05-08,2,-0.49,-5.78,-2.96,-1.87,-7.47,True,-2.96,-1.87,-7.47,True,,,,False,,,,False,,,,False
v1,2026-05-06,603538,美诺华,26,不推送,55.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,63.38,2026-05-08,2,0.5,8.87,-2.73,11.06,-2.73,True,-2.73,11.06,-2.73,True,,,,False,,,,False,,,,False
v1,2026-05-06,600522,中天科技,66,不推送,55.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,40.77,2026-05-08,2,0.32,-11.45,-5.86,-5.86,-14.15,True,-5.86,-5.86,-14.15,True,,,,False,,,,False,,,,False
v1,2026-05-06,002565,顺灏股份,82,不推送,55.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,20.93,2026-05-08,2,-1.39,-5.88,-5.11,-4.49,-8.31,True,-5.11,-4.49,-8.31,True,,,,False,,,,False,,,,False
v1,2026-05-06,002361,神剑股份,40,不推送,53.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,22.77,2026-05-08,2,-3.82,-6.85,-5.14,-4.7,-7.86,True,-5.14,-4.7,-7.86,True,,,,False,,,,False,,,,False
v1,2026-05-06,000988,华工科技,58,不推送,47.0,False,intraday_1430,2026-05-06 14:30:00,收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,135.36,2026-05-08,2,0.98,-7.07,-1.37,-0.62,-8.54,True,-1.37,-0.62,-8.54,True,,,,False,,,,False,,,,False
v1,2026-05-06,001896,豫能控股,81,不推送,47.0,False,intraday_1430,2026-05-06 14:30:00,当日强涨；收盘承接较强；温和放量；站上20日线且不过热；市场强势且个股相对强势,近5日趋势未确认,2026-05-06,16.4,2026-05-08,2,0.06,1.28,2.2,3.66,-0.55,True,2.2,3.66,-0.55,True,,,,False,,,,False,,,,False
v1,2026-05-06,002297,博云新材,10,不推送,45.0,False,intraday_1430,2026-05-06 14:30:00,人气Top10；当日上涨；收盘承接较强；近5日趋势升温；市场强势且个股相对强势,远离20日线过多,2026-05-06,25.71,2026-05-08,2,0.0,-5.37,-3.73,-1.79,-6.61,True,-3.73,-1.79,-6.61,True,,,,False,,,,False,,,,False
v1,2026-05-06,600487,亨通光电,24,不推送,45.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,77.46,2026-05-08,2,-0.25,-3.76,-1.94,-1.07,-7.31,True,-1.94,-1.07,-7.31,True,,,,False,,,,False,,,,False
v1,2026-05-06,600884,杉杉股份,38,不推送,41.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；当日上涨；收盘承接较强；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,量能不足,2026-05-06,17.54,2026-05-08,2,-4.85,0.34,-3.14,0.34,-3.71,True,-3.14,0.34,-3.71,True,,,,False,,,,False,,,,False
v1,2026-05-06,000062,深圳华强,9,不推送,39.0,False,intraday_1430,2026-05-06 14:30:00,人气Top10；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱,2026-05-06,36.88,2026-05-08,2,-3.63,-2.52,1.57,3.58,-3.66,True,1.57,3.58,-3.66,True,,,,False,,,,False,,,,False
v1,2026-05-06,002202,金风科技,28,不推送,39.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,上影线偏长,2026-05-06,28.49,2026-05-08,2,0.0,-1.9,-0.11,0.67,-2.28,True,-0.11,0.67,-2.28,True,,,,False,,,,False,,,,False
v1,2026-05-06,002050,三花智控,76,不推送,39.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,52.07,2026-05-08,2,-0.73,-7.49,-3.36,-3.21,-8.05,True,-3.36,-3.21,-8.05,True,,,,False,,,,False,,,,False
v1,2026-05-06,002384,东山精密,65,不推送,37.0,False,intraday_1430,2026-05-06 14:30:00,收盘承接较强；温和放量；近5日趋势升温；市场强势且个股相对强势,偏离20日线较大,2026-05-06,212.07,2026-05-08,2,-0.32,-11.15,-0.47,-0.47,-12.39,True,-0.47,-0.47,-12.39,True,,,,False,,,,False,,,,False
v1,2026-05-06,600745,*ST闻泰,5,不推送,35.75,False,intraday_1430,2026-05-06 14:30:00,人气Top10；收在日内高位；站上20日线且不过热,当日转弱；强势市里个股相对走弱,2026-05-06,24.1,,0,,,,,,False,,,,False,,,,False,,,,False,,,,False
v1,2026-05-06,002181,粤传媒,8,不推送,34.0,False,intraday_1430,2026-05-06 14:30:00,人气Top10；温和放量；近5日强势延续；市场强势且个股相对强势,当日转弱；短线涨幅偏高；偏离20日线较大,2026-05-06,18.47,2026-05-08,2,-0.65,-1.46,1.35,7.04,-3.63,True,1.35,7.04,-3.63,True,,,,False,,,,False,,,,False
v1,2026-05-06,000063,中兴通讯,87,不推送,33.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；放量仍可控；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,上影线偏长,2026-05-06,38.25,2026-05-08,2,1.12,0.92,1.7,1.8,-0.55,True,1.7,1.8,-0.55,True,,,,False,,,,False,,,,False
v1,2026-05-06,603601,再升科技,41,不推送,32.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；温和放量；近5日强势延续；站上20日线且不过热；市场强势且个股相对强势,短线涨幅偏高；上影线偏长,2026-05-06,17.73,2026-05-08,2,0.96,-4.17,-2.31,-1.92,-6.94,True,-2.31,-1.92,-6.94,True,,,,False,,,,False,,,,False
v1,2026-05-06,601899,紫金矿业,56,不推送,32.0,False,intraday_1430,2026-05-06 14:30:00,收盘承接较强；温和放量；站上20日线且不过热,-,2026-05-06,34.84,2026-05-08,2,-0.11,0.0,-1.09,0.95,-2.07,True,-1.09,0.95,-2.07,True,,,,False,,,,False,,,,False
v1,2026-05-06,002156,通富微电,13,不推送,31.0,False,intraday_1430,2026-05-06 14:30:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱,2026-05-06,57.38,2026-05-08,2,-0.38,5.96,2.96,5.96,0.38,True,2.96,5.96,0.38,True,,,,False,,,,False,,,,False
v1,2026-05-06,002709,天赐材料,18,不推送,31.0,False,intraday_1430,2026-05-06 14:30:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱,2026-05-06,58.74,2026-05-08,2,-0.56,8.38,6.91,8.44,3.85,True,6.91,8.44,3.85,True,,,,False,,,,False,,,,False
v1,2026-05-06,601016,节能风电,20,不推送,31.0,False,intraday_1430,2026-05-06 14:30:00,人气Top20；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱,2026-05-06,4.9,2026-05-08,2,0.0,-1.63,1.84,3.67,-3.06,True,1.84,3.67,-3.06,True,,,,False,,,,False,,,,False
v1,2026-05-06,600330,天通股份,75,不推送,31.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,-,2026-05-06,28.99,2026-05-08,2,0.59,-6.83,-3.48,0.72,-9.62,True,-3.48,0.72,-9.62,True,,,,False,,,,False,,,,False
v1,2026-05-06,002081,金螳螂,2,不推送,30.0,False,intraday_1430,2026-05-06 14:30:00,人气Top3；温和放量；近5日强势延续；市场强势且个股相对强势,当日转弱；短线涨幅偏高；远离20日线过多,2026-05-06,6.87,2026-05-08,2,-1.02,1.31,3.93,3.93,-1.02,True,3.93,3.93,-1.02,True,,,,False,,,,False,,,,False
v1,2026-05-06,600396,华电辽能,3,不推送,30.0,False,intraday_1430,2026-05-06 14:30:00,人气Top3；当日上涨；温和放量；近5日强势延续；市场强势且个股相对强势,收盘承接偏弱；短线涨幅偏高；远离20日线过多；上影线偏长,2026-05-06,12.45,2026-05-08,2,-0.08,-12.37,-3.61,-3.61,-12.37,True,-3.61,-3.61,-12.37,True,,,,False,,,,False,,,,False
v1,2026-05-06,603629,利通电子,7,不推送,29.0,False,intraday_1430,2026-05-06 14:30:00,人气Top10；当日上涨；温和放量；市场强势且个股相对强势,短线涨幅过热；远离20日线过多,2026-05-06,167.14,2026-05-08,2,0.27,-4.15,-5.3,-0.35,-6.06,True,-5.3,-0.35,-6.06,True,,,,False,,,,False,,,,False
v1,2026-05-06,301666,大普微,95,不推送,29.0,False,intraday_1430,2026-05-06 14:30:00,当日涨停附近；收盘承接较强；温和放量；市场强势且个股相对强势,短线涨幅过热；远离20日线过多,2026-05-06,499.0,2026-05-08,2,1.16,-23.73,-13.37,-11.91,-25.65,True,-13.37,-11.91,-25.65,True,,,,False,,,,False,,,,False
v1,2026-05-06,002044,美年健康,50,不推送,27.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,收盘承接偏弱；上影线偏长,2026-05-06,6.23,2026-05-08,2,-0.96,-0.96,-0.48,0.8,-5.46,True,-0.48,0.8,-5.46,True,,,,False,,,,False,,,,False
v1,2026-05-06,002281,光迅科技,94,不推送,27.0,False,intraday_1430,2026-05-06 14:30:00,当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,收盘承接偏弱；上影线偏长,2026-05-06,150.82,2026-05-08,2,19.82,1.25,8.93,10.0,-2.53,True,8.93,10.0,-2.53,True,,,,False,,,,False,,,,False
v1,2026-05-06,000858,五粮液,1,不推送,25.75,False,intraday_1430,2026-05-06 14:30:00,人气Top3；站上20日线且不过热,当日转弱；强势市里个股相对走弱,2026-05-06,92.24,,0,,,,,,False,,,,False,,,,False,,,,False,,,,False
v1,2026-05-06,002217,合力泰,14,不推送,24.0,False,intraday_1430,2026-05-06 14:30:00,人气Top20；温和放量；近5日强势延续；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱；短线涨幅偏高,2026-05-06,3.44,2026-05-08,2,-0.29,-1.16,1.74,1.74,-5.52,True,1.74,1.74,-5.52,True,,,,False,,,,False,,,,False
v1,2026-05-06,002015,协鑫能科,31,不推送,23.75,False,intraday_1430,2026-05-06 14:30:00,人气Top50；收盘承接较强；站上20日线且不过热,强势市里个股相对走弱,2026-05-06,20.66,,0,,,,,,False,,,,False,,,,False,,,,False,,,,False
v1,2026-05-06,603986,兆易创新,23,不推送,23.0,False,intraday_1430,2026-05-06 14:30:00,人气Top50；温和放量；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势,当日转弱；收盘承接偏弱,2026-05-06,335.04,2026-05-08,2,-0.28,3.57,4.51,6.66,1.18,True,4.51,6.66,1.18,True,,,,False,,,,False,,,,False
