signal_date,market_regime,market_score,market_1d_pct,market_5d_pct,market_lag_days,market_price_date,market_source,sh_1d_pct,sz_1d_pct,cyb_1d_pct,sh_5d_pct,sz_5d_pct,cyb_5d_pct
2026-04-10,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7
2026-04-13,强势,73.2,0.47,6.48,0,2026-04-13,common_index_cache,0.06,0.69,0.8,2.8,7.9,10.38
2026-04-14,强势,85.61,1.53,7.79,0,2026-04-14,common_index_cache,0.95,1.61,2.36,3.51,9.25,12.58
2026-04-15,强势,53.01,-0.64,2.71,0,2026-04-15,common_index_cache,0.01,-0.97,-1.22,0.81,3.25,5.0
2026-04-16,强势,79.86,1.79,5.18,0,2026-04-16,common_index_cache,0.7,2.05,3.17,2.25,5.72,9.12
2026-04-17,强势,65.43,0.53,3.73,0,2026-04-17,common_index_cache,-0.1,0.6,1.43,1.64,4.02,6.65
2026-04-20,强势,65.17,0.49,3.75,0,2026-04-20,common_index_cache,0.76,0.55,-0.02,2.35,3.88,5.79
2026-04-21,震荡,58.05,0.14,2.31,0,2026-04-21,common_index_cache,0.07,0.1,0.31,1.45,2.34,3.66
2026-04-22,强势,71.13,1.1,4.11,0,2026-04-22,common_index_cache,0.52,1.3,1.73,1.96,4.68,6.77
2026-04-23,震荡,49.6,-0.65,1.6,0,2026-04-23,common_index_cache,-0.32,-0.88,-0.87,0.93,1.67,2.59
2026-04-24,震荡,45.18,-0.73,0.34,0,2026-04-24,common_index_cache,-0.33,-0.69,-1.41,0.7,0.37,-0.29
2026-04-27,震荡,50.21,0.06,-0.09,0,2026-04-27,common_index_cache,0.16,0.37,-0.52,0.1,0.19,-0.78
2026-04-28,震荡,40.32,-0.82,-1.04,0,2026-04-28,common_index_cache,-0.19,-1.1,-1.43,-0.16,-1.01,-2.5
2026-04-29,强势,61.12,1.6,-0.56,0,2026-04-29,common_index_cache,0.71,1.96,2.51,0.03,-0.37,-1.75
2026-04-30,震荡,49.64,-0.06,0.04,0,2026-04-30,common_index_cache,0.11,-0.09,-0.27,0.46,0.43,-1.16
2026-05-06,强势,74.04,1.97,2.76,0,2026-05-06,common_index_cache,1.17,2.33,2.75,1.97,3.48,3.01
2026-05-07,强势,68.83,0.97,3.69,0,2026-05-07,common_index_cache,0.48,1.18,1.45,2.29,4.31,5.05
2026-05-08,强势,59.05,-0.41,4.11,0,2026-05-08,common_index_cache,-0.0,-0.5,-0.96,2.48,4.94,5.54
2026-05-11,强势,80.25,2.06,4.59,0,2026-05-11,common_index_cache,1.08,2.16,3.5,2.86,5.15,6.56
2026-05-12,强势,61.39,-0.23,4.41,0,2026-05-12,common_index_cache,-0.25,-0.47,0.15,2.49,4.75,7.01
2026-05-13,强势,73.9,1.51,3.94,0,2026-05-13,common_index_cache,0.67,1.67,2.63,1.98,4.08,6.89
2026-05-14,弱势,37.74,-1.9,0.98,0,2026-05-14,common_index_cache,-1.52,-2.14,-2.16,-0.05,0.66,3.08
2026-05-15,震荡,43.64,-0.96,0.44,0,2026-05-15,common_index_cache,-1.02,-1.17,-0.56,-1.07,-0.02,3.5
2026-05-18,震荡,43.03,-0.2,-1.79,0,2026-05-18,common_index_cache,-0.09,-0.2,-0.36,-2.21,-2.32,-0.36
2026-05-19,震荡,49.88,0.42,-1.16,0,2026-05-19,common_index_cache,0.92,0.26,-0.16,-1.07,-1.61,-0.67
2026-05-20,震荡,42.25,0.01,-2.61,0,2026-05-20,common_index_cache,-0.18,0.0,0.34,-1.89,-3.23,-2.89
2026-05-21,弱势,24.44,-2.13,-2.84,0,2026-05-21,common_index_cache,-2.04,-2.07,-2.35,-2.41,-3.17,-3.07
2026-05-22,强势,64.64,1.86,-0.08,0,2026-05-22,common_index_cache,0.87,2.3,2.84,-0.54,0.23,0.24
2026-05-25,强势,66.78,1.49,1.62,0,2026-05-25,common_index_cache,0.96,1.66,2.1,0.51,2.1,2.71
2026-05-26,震荡,54.84,0.11,1.32,0,2026-05-26,common_index_cache,-0.17,0.12,0.54,-0.58,1.97,3.44
2026-05-27,震荡,45.21,-0.79,0.51,0,2026-05-27,common_index_cache,-1.25,-0.88,0.07,-1.64,1.07,3.16
2026-05-28,强势,67.21,0.82,3.55,0,2026-05-28,common_index_cache,0.12,0.8,1.96,0.52,4.03,7.71
2026-05-29,弱势,38.85,-1.45,0.15,0,2026-05-29,common_index_cache,-0.73,-1.81,-2.11,-1.08,-0.14,2.53
2026-06-01,弱势,33.17,-1.17,-2.49,0,2026-06-01,common_index_cache,-0.27,-1.51,-2.15,-2.28,-3.26,-1.75
2026-06-02,强势,57.59,1.41,-1.23,0,2026-06-02,common_index_cache,0.43,1.63,2.66,-1.7,-1.8,0.32
2026-06-03,震荡,57.01,0.76,0.31,0,2026-06-03,common_index_cache,0.22,0.73,1.65,-0.24,-0.2,1.91
2026-06-04,震荡,42.34,-0.56,-1.06,0,2026-06-04,common_index_cache,-0.64,-0.27,-0.83,-1.0,-1.26,-0.88
2026-06-05,弱势,30.6,-1.87,-1.48,0,2026-06-05,common_index_cache,-0.74,-2.21,-3.2,-1.0,-1.67,-1.98
2026-06-08,弱势,19.04,-2.73,-3.04,0,2026-06-08,common_index_cache,-1.7,-3.22,-3.69,-2.43,-3.38,-3.52
2026-06-09,强势,64.58,2.55,-1.94,0,2026-06-09,common_index_cache,1.28,3.02,3.93,-1.6,-2.07,-2.32
2026-06-10,弱势,24.95,-1.56,-4.19,0,2026-06-10,common_index_cache,-0.42,-2.06,-2.7,-2.22,-4.78,-6.5
2026-06-11,弱势,32.76,-0.58,-4.2,0,2026-06-11,common_index_cache,-0.16,-0.68,-1.13,-1.74,-5.17,-6.79
2026-06-12,震荡,52.01,0.84,-1.57,0,2026-06-12,common_index_cache,1.12,0.75,0.5,0.09,-2.29,-3.22
2026-06-15,强势,89.96,3.3,4.52,0,2026-06-15,common_index_cache,1.61,3.79,5.3,3.46,4.79,5.82
2026-06-16,强势,63.6,0.71,2.64,0,2026-06-16,common_index_cache,-0.11,0.93,1.72,2.04,2.66,3.56
