signal_date,code,name,rank,popularity_score,source,capture_type,snapshot_time,first_seen_date,appearance_count,consecutive_days,previous_rank,rank_change,price_status,price_date,open,close,high,low,volume,day_return_pct,pre3_return_pct,pre5_return_pct,close_position,volume_ratio_5,dist_ma5_pct,dist_ma10_pct,dist_ma20_pct,dist_high60_pct,upper_shadow_pct,limit_up_like,one_word_like,price_lag_days,emotion_score,push_level,is_pushed,reasons,risks,suggested_action,strategy_version,market_regime,market_score,market_1d_pct,market_5d_pct,market_lag_days,market_price_date,market_source,sh_1d_pct,sz_1d_pct,cyb_1d_pct,sh_5d_pct,sz_5d_pct,cyb_5d_pct,relative_1d_pct,relative_5d_pct
2026-04-10,600105,永鼎股份,1,8225.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,34.65,38.1,38.1,33.98,2331300.0,9.99,26.12,25.78,1.0,1.37,13.96,23.32,32.21,0.0,0.0,True,False,0.0,91.0,强推观察,True,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势；v1每日精选入选,短线涨幅偏高；偏离20日线较大,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,8.06,20.79
2026-04-10,002580,圣阳股份,2,5904.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,17.25,18.98,18.98,16.84,1879909.0,10.03,17.96,11.12,1.0,1.68,13.83,12.51,23.0,-2.01,0.0,True,False,0.0,108.0,强推观察,True,人气Top3；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势；v1每日精选入选,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,8.1,6.13
2026-04-10,002475,立讯精密,3,5492.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,55.42,58.18,59.18,54.9,3868969.0,5.61,20.23,16.62,0.766,2.61,10.72,13.71,16.42,-3.55,0.234,False,False,0.0,68.0,观察池,False,人气Top3；当日上涨；收盘承接较强；近5日趋势升温；站上20日线且不过热,v1每日精选未入前5,未入当日精选前5，保留观察，不进入今日执行单。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,3.68,11.63
2026-04-10,002328,新朋股份,4,4984.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,9.78,10.11,10.11,9.66,719998.0,10.01,22.99,36.62,1.0,0.86,15.62,25.7,36.95,0.0,0.0,True,False,0.0,85.0,观察池,False,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大；v1每日精选未入前5,未入当日精选前5，保留观察，不进入今日执行单。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,8.08,31.63
2026-04-10,002384,东山精密,5,4553.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,132.3,143.55,145.09,132.27,1449445.0,8.83,31.69,35.11,0.88,2.7,16.72,25.8,28.1,-1.06,0.12,False,False,0.0,59.0,不推送,False,人气Top10；当日强涨；收盘承接较强；近5日强势延续；首次上榜即强势,短线涨幅偏高；偏离20日线较大,不主动推送。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,6.9,30.12
2026-04-10,300308,中际旭创,6,4542.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,700.0,734.65,743.04,694.01,330801.0,6.16,18.77,26.45,0.829,1.22,10.02,17.05,21.09,-1.13,0.171,False,False,0.0,69.0,观察池,False,人气Top10；当日上涨；收盘承接较强；温和放量；近5日强势延续；站上20日线且不过热,短线涨幅偏高；v1每日精选未入前5,未入当日精选前5，保留观察，不进入今日执行单。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,4.23,21.46
2026-04-10,603538,美诺华,7,4471.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,47.46,49.59,50.05,44.51,905061.0,8.99,26.15,17.18,0.917,1.24,13.93,17.25,40.98,-0.92,0.083,False,False,0.0,86.0,观察池,False,人气Top10；当日强涨；收在日内高位；温和放量；近5日趋势升温；首次上榜即强势,偏离20日线较大；v1每日精选未入前5,未入当日精选前5，保留观察，不进入今日执行单。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,7.06,12.19
2026-04-10,601869,长飞光纤,8,4256.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,392.0,384.38,396.53,370.0,248833.0,-3.5,7.64,15.61,0.542,1.26,3.64,13.71,34.92,-3.5,0.171,False,False,0.0,38.0,不推送,False,人气Top10；温和放量；近5日趋势升温,当日转弱；偏离20日线较大,不主动推送。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,-5.43,10.62
2026-04-10,001309,德明利,9,4095.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,428.0,447.24,447.24,423.0,232257.0,10.0,18.26,24.18,1.0,1.4,13.09,15.55,21.4,0.0,0.0,True,False,0.0,102.0,强推观察,True,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势；v1每日精选入选,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,8.07,19.19
2026-04-10,002263,大东南,10,3813.0,10jqka,post_close,2026-04-10 15:00:00,2026-04-10,1,1,,,ok,2026-04-10,4.31,4.9,4.9,4.31,4212278.0,10.11,-0.2,3.59,1.0,0.82,3.68,8.07,22.36,-5.41,0.0,True,False,0.0,90.0,强推观察,True,人气Top10；当日涨停附近；收在日内高位；温和放量；站上20日线且不过热；首次上榜即强势；v1每日精选入选,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1,强势,80.41,1.93,4.99,0,2026-04-10,common_index_cache,0.51,2.24,3.78,1.71,6.1,8.7,8.18,-1.4
