signal_date,code,capital_flow_pct,capital_flow_signal
2025-11-18,300395,-3.47,-3.47
2025-11-19,300395,-10.49,-10.49
2025-11-20,300395,10.03,10.03
2025-11-21,300395,-2.36,-2.36
2025-11-24,300395,-2.91,-2.91
2025-11-25,300395,9.08,9.08
2025-11-26,300395,1.84,1.84
2025-11-27,300395,0.46,0.46
2025-11-28,300395,0.78,0.78
2025-12-01,300395,-7.89,-7.89
2025-12-02,300395,-1.59,-1.59
2025-12-03,300395,5.03,5.03
2025-12-04,300395,8.96,8.96
2025-12-05,300395,6.41,6.41
2025-12-08,300395,7.51,7.51
2025-12-09,300395,0.23,0.23
2025-12-10,300395,8.52,8.52
2025-12-11,300395,-12.96,-12.96
2025-12-12,300395,-8.55,-8.55
2025-12-15,300395,7.97,7.97
2025-12-16,300395,1.2,1.2
2025-12-17,300395,10.25,10.25
2025-12-18,300395,-3.04,-3.04
2025-12-19,300395,-2.97,-2.97
2025-12-22,300395,4.11,4.11
2025-12-23,300395,-3.99,-3.99
2025-12-24,300395,1.26,1.26
2025-12-25,300395,-7.96,-7.96
2025-12-26,300395,0.28,0.28
2025-12-29,300395,3.87,3.87
2025-12-30,300395,-7.21,-7.21
2025-12-31,300395,-21.62,-21.62
2026-01-05,300395,-2.02,-2.02
2026-01-06,300395,-8.88,-8.88
2026-01-07,300395,-8.84,-8.84
2026-01-08,300395,-17.06,-17.06
2026-01-09,300395,8.59,8.59
2026-01-12,300395,-10.53,-10.53
2026-01-13,300395,-11.63,-11.63
2026-01-14,300395,6.0,6.0
2026-01-15,300395,11.23,11.23
2026-01-16,300395,1.07,1.07
2026-01-19,300395,6.92,6.92
2026-01-20,300395,-9.15,-9.15
2026-01-21,300395,-1.64,-1.64
2026-01-22,300395,-1.54,-1.54
2026-01-23,300395,-14.46,-14.46
2026-01-26,300395,-1.41,-1.41
2026-01-27,300395,5.24,5.24
2026-01-28,300395,5.39,5.39
2026-01-29,300395,-7.28,-7.28
2026-01-30,300395,1.58,1.58
2026-02-02,300395,-5.07,-5.07
2026-02-03,300395,-1.4,-1.4
2026-02-04,300395,2.94,2.94
2026-02-05,300395,-8.38,-8.38
2026-02-06,300395,-9.1,-9.1
2026-02-09,300395,4.77,4.77
2026-02-10,300395,2.84,2.84
2026-02-11,300395,0.43,0.43
2026-02-12,300395,-3.47,-3.47
2026-02-13,300395,-16.96,-16.96
2026-02-24,300395,4.63,4.63
2026-02-25,300395,9.28,9.28
2026-02-26,300395,-5.31,-5.31
2026-02-27,300395,-4.99,-4.99
2026-03-02,300395,-0.44,-0.44
2026-03-03,300395,-11.34,-11.34
2026-03-04,300395,-12.06,-12.06
2026-03-05,300395,2.61,2.61
2026-03-06,300395,-10.8,-10.8
2026-03-09,300395,-5.82,-5.82
2026-03-10,300395,8.17,8.17
2026-03-11,300395,-0.51,-0.51
2026-03-12,300395,0.64,0.64
2026-03-13,300395,7.33,7.33
2026-03-16,300395,7.98,7.98
2026-03-17,300395,-4.82,-4.82
2026-03-18,300395,-4.85,-4.85
2026-03-19,300395,-16.08,-16.08
2026-03-20,300395,-8.36,-8.36
2026-03-23,300395,-15.37,-15.37
2026-03-24,300395,4.22,4.22
2026-03-25,300395,2.78,2.78
2026-03-26,300395,-21.59,-21.59
2026-03-27,300395,-1.44,-1.44
2026-03-30,300395,4.01,4.01
2026-03-31,300395,-14.03,-14.03
2026-04-01,300395,-0.37,-0.37
2026-04-02,300395,-12.7,-12.7
2026-04-03,300395,8.0,8.0
2026-04-07,300395,8.54,8.54
2026-04-08,300395,7.82,7.82
2026-04-09,300395,-12.44,-12.44
2026-04-10,300395,3.56,3.56
2026-04-13,300395,3.12,3.12
2026-04-14,300395,-2.26,-2.26
2026-04-15,300395,-11.74,-11.74
2026-04-16,300395,-0.96,-0.96
2026-04-17,300395,6.61,6.61
2026-04-20,300395,-4.68,-4.68
2026-04-21,300395,-2.44,-2.44
2026-04-22,300395,12.2,12.2
2026-04-23,300395,-10.59,-10.59
2026-04-24,300395,-14.17,-14.17
2026-04-27,300395,-1.26,-1.26
2026-04-28,300395,-8.32,-8.32
2026-04-29,300395,5.06,5.06
2026-04-30,300395,-6.47,-6.47
2026-05-06,300395,2.5,2.5
2026-05-07,300395,6.5,6.5
2026-05-08,300395,-0.18,-0.18
2026-05-11,300395,-1.29,-1.29
2026-05-12,300395,9.94,9.94
2026-05-13,300395,-0.93,-0.93
2026-05-14,300395,-5.31,-5.31
2026-05-15,300395,-14.63,-14.63
2026-05-18,300395,3.2,3.2
2026-05-19,300395,-13.44,-13.44
2026-05-20,300395,5.02,5.02
