strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v1,2026-07-25T04:22:17,推送层级,不推送,latest,至今收益,latest_return_pct,,5629,0,5385,-18.45,17.4,7.56
v1,2026-07-25T04:22:17,推送层级,不推送,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,5629,0,5385,-0.32,36.94,2.73
v1,2026-07-25T04:22:17,推送层级,不推送,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,5629,0,5385,-0.05,45.37,7.74
v1,2026-07-25T04:22:17,推送层级,不推送,1d,1日收益,return_1d_pct,settled_1d,5629,0,5385,-0.05,45.37,7.74
v1,2026-07-25T04:22:17,推送层级,不推送,3d,3日收益,return_3d_pct,settled_3d,5629,0,5199,-0.86,41.93,15.33
v1,2026-07-25T04:22:17,推送层级,不推送,5d,5日收益,return_5d_pct,settled_5d,5629,0,5010,-1.31,41.7,18.46
v1,2026-07-25T04:22:17,推送层级,不推送,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,5629,0,5385,0.28,49.36,3.88
v1,2026-07-25T04:22:17,推送层级,不推送,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,5629,0,5199,-0.58,43.66,13.6
v1,2026-07-25T04:22:17,推送层级,不推送,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,5629,0,5010,-1.07,43.11,17.49
v1,2026-07-25T04:22:17,推送层级,不推送,10d,10日收益,return_10d_pct,settled_10d,5629,0,4581,-1.9,39.93,23.07
v1,2026-07-25T04:22:17,推送层级,强推观察,latest,至今收益,latest_return_pct,,69,69,69,-16.39,21.74,17.39
v1,2026-07-25T04:22:17,推送层级,强推观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,69,69,69,0.72,52.17,2.9
