strategy_version,generated_at,group_name,group_value,metric_key,metric_label,metric_column,settled_column,sample_count,pushed_count,valid_count,avg_return_pct,win_rate_pct,strong_rate_pct
v2,2026-07-02T03:57:13,推送层级,不推送,latest,至今收益,latest_return_pct,,4568,0,4480,2.05,42.48,27.14
v2,2026-07-02T03:57:13,推送层级,不推送,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,4568,0,4480,-1.73,40.13,5.16
v2,2026-07-02T03:57:13,推送层级,不推送,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,4568,0,4480,-0.99,47.48,9.98
v2,2026-07-02T03:57:13,推送层级,不推送,1d,1日收益,return_1d_pct,settled_1d,4568,0,4480,-0.99,47.48,9.98
v2,2026-07-02T03:57:13,推送层级,不推送,3d,3日收益,return_3d_pct,settled_3d,4568,0,4300,-0.89,45.88,16.81
v2,2026-07-02T03:57:13,推送层级,不推送,5d,5日收益,return_5d_pct,settled_5d,4568,0,4139,-0.53,46.58,20.42
v2,2026-07-02T03:57:13,推送层级,不推送,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,4568,0,4480,0.79,53.75,4.33
v2,2026-07-02T03:57:13,推送层级,不推送,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,4568,0,4300,1.07,50.33,16.21
v2,2026-07-02T03:57:13,推送层级,不推送,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,4568,0,4139,1.59,51.58,21.77
v2,2026-07-02T03:57:13,推送层级,不推送,10d,10日收益,return_10d_pct,settled_10d,4568,0,3713,0.17,45.03,24.59
v2,2026-07-02T03:57:13,推送层级,强推观察,latest,至今收益,latest_return_pct,,124,124,124,4.97,37.9,31.45
v2,2026-07-02T03:57:13,推送层级,强推观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,124,124,124,0.54,57.26,4.84
v2,2026-07-02T03:57:13,推送层级,强推观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,124,124,124,1.67,61.29,17.74
v2,2026-07-02T03:57:13,推送层级,强推观察,1d,1日收益,return_1d_pct,settled_1d,124,124,124,1.67,61.29,17.74
v2,2026-07-02T03:57:13,推送层级,强推观察,3d,3日收益,return_3d_pct,settled_3d,124,124,124,4.05,57.26,29.03
v2,2026-07-02T03:57:13,推送层级,强推观察,5d,5日收益,return_5d_pct,settled_5d,124,124,122,4.58,58.2,30.33
v2,2026-07-02T03:57:13,推送层级,强推观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,124,124,124,1.17,56.45,6.45
v2,2026-07-02T03:57:13,推送层级,强推观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,124,124,124,3.46,54.84,24.19
v2,2026-07-02T03:57:13,推送层级,强推观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,124,124,122,3.94,56.56,27.87
v2,2026-07-02T03:57:13,推送层级,强推观察,10d,10日收益,return_10d_pct,settled_10d,124,124,122,7.4,62.3,38.52
v2,2026-07-02T03:57:13,推送层级,普通观察,latest,至今收益,latest_return_pct,,312,312,307,5.88,41.37,34.2
v2,2026-07-02T03:57:13,推送层级,普通观察,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,312,312,307,-0.28,48.21,0.98
v2,2026-07-02T03:57:13,推送层级,普通观察,tail_next_close,次日收盘收益,tail_next_close_pct,settled_tail_next_day,312,312,307,0.19,48.86,6.19
v2,2026-07-02T03:57:13,推送层级,普通观察,1d,1日收益,return_1d_pct,settled_1d,312,312,307,0.19,48.86,6.19
v2,2026-07-02T03:57:13,推送层级,普通观察,3d,3日收益,return_3d_pct,settled_3d,312,312,305,1.56,55.08,19.34
v2,2026-07-02T03:57:13,推送层级,普通观察,5d,5日收益,return_5d_pct,settled_5d,312,312,295,2.26,51.53,23.05
v2,2026-07-02T03:57:13,推送层级,普通观察,open_buy_1d,次日开盘买入1日收益,open_buy_return_1d_pct,settled_open_buy_1d,312,312,307,0.49,49.19,3.26
v2,2026-07-02T03:57:13,推送层级,普通观察,open_buy_3d,次日开盘买入3日收益,open_buy_return_3d_pct,settled_open_buy_3d,312,312,305,1.81,58.36,17.38
v2,2026-07-02T03:57:13,推送层级,普通观察,open_buy_5d,次日开盘买入5日收益,open_buy_return_5d_pct,settled_open_buy_5d,312,312,295,2.48,52.88,23.39
v2,2026-07-02T03:57:13,推送层级,普通观察,10d,10日收益,return_10d_pct,settled_10d,312,312,282,3.84,57.45,31.56
v2,2026-07-02T03:57:13,推送层级,观察池,latest,至今收益,latest_return_pct,,387,0,377,0.37,45.62,27.32
v2,2026-07-02T03:57:13,推送层级,观察池,tail_next_open,次日开盘收益,tail_next_open_pct,settled_tail_next_day,387,0,377,-0.53,51.99,6.9
