signal_date,rank,code,name,push_level,emotion_score,day_return_pct,pre5_return_pct,market_regime,market_1d_pct,market_5d_pct,market_price_date,market_lag_days,market_source,relative_1d_pct,relative_5d_pct,close_position,volume_ratio_5,dist_ma20_pct,consecutive_days,rank_change,capture_type,snapshot_time,reasons,risks,suggested_action,strategy_version
2026-05-08,2,000547,航天发展,强推观察,121.0,10.01,17.4,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.42,13.29,1.0,2.2,4.49,1,,post_close,2026-05-08 15:00:00,人气Top3；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；首次上榜即强势；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,8,600498,烽火通信,强推观察,115.0,10.0,8.99,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.41,4.88,1.0,1.18,10.15,1,,post_close,2026-05-08 15:00:00,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；首次上榜即强势；市场强势且个股相对强势；v2强势延续修正,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,7,600522,中天科技,强推观察,105.0,6.57,16.86,强势,-0.41,4.11,2026-05-08,0,common_index_cache,6.98,12.75,0.912,1.32,25.74,3,12.0,post_close,2026-05-08 15:00:00,人气Top10；当日上涨；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2连榜升温修正,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,6,002281,光迅科技,强推观察,100.0,10.0,31.91,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.41,27.8,1.0,1.21,42.31,3,11.0,post_close,2026-05-08 15:00:00,人气Top10；当日涨停附近；收在日内高位；温和放量；近5日强势延续；连续上榜确认；人气排名明显上升；市场强势且个股相对强势；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,9,600105,永鼎股份,强推观察,95.0,5.09,11.35,强势,-0.41,4.11,2026-05-08,0,common_index_cache,5.5,7.24,0.88,1.21,17.97,2,2.0,post_close,2026-05-08 15:00:00,人气Top10；当日上涨；收盘承接较强；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v2连榜升温修正,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,31,600343,航天动力,强推观察,93.0,10.01,17.17,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.42,13.06,1.0,2.06,10.55,1,,post_close,2026-05-08 15:00:00,人气Top50；当日涨停附近；收在日内高位；放量仍可控；近5日趋势升温；站上20日线且不过热；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正,-,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,45,002865,钧达股份,强推观察,92.0,10.01,32.47,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.42,28.36,1.0,1.64,24.54,1,,post_close,2026-05-08 15:00:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日强势延续；站上20日线且不过热；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正,短线涨幅偏高,高风险情绪股：不追一字，优先看分歧承接，跌破5日线或人气退潮就跑。,v1
2026-05-08,50,002580,圣阳股份,重点观察,83.0,10.0,11.53,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.41,7.42,1.0,0.7,24.03,3,-24.0,post_close,2026-05-08 15:00:00,人气Top50；当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认；市场强势且个股相对强势；v2强势延续修正,人气排名明显回落,只做观察或轻仓试错，等待回落承接和量能不失控。,v1
2026-05-08,30,605358,立昂微,重点观察,82.0,9.99,28.35,强势,-0.41,4.11,2026-05-08,0,common_index_cache,10.4,24.24,1.0,1.76,28.5,1,,post_close,2026-05-08 15:00:00,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日强势延续；市场强势且个股相对强势；v2强势延续修正；v2低分涨停修正,短线涨幅偏高；偏离20日线较大,只做观察或轻仓试错，等待回落承接和量能不失控。,v1
2026-05-08,10,002565,顺灏股份,重点观察,81.0,3.93,9.5,强势,-0.41,4.11,2026-05-08,0,common_index_cache,4.34,5.39,0.683,1.34,9.22,3,55.0,post_close,2026-05-08 15:00:00,人气Top10；当日上涨；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,-,只做观察或轻仓试错，等待回落承接和量能不失控。,v1
2026-05-08,20,603778,国晟科技,重点观察,81.0,4.17,6.81,强势,-0.41,4.11,2026-05-08,0,common_index_cache,4.58,2.7,0.996,1.1,-3.21,3,50.0,post_close,2026-05-08 15:00:00,人气Top20；当日上涨；收在日内高位；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；市场强势且个股相对强势,-,只做观察或轻仓试错，等待回落承接和量能不失控。,v1
