group_name,group_value,sample_count,pushed_count,valid_latest,avg_latest,win_rate_latest,strong_rate_latest,valid_tail_next_open,avg_tail_next_open,win_rate_tail_next_open,strong_rate_tail_next_open,valid_tail_next_close,avg_tail_next_close,win_rate_tail_next_close,strong_rate_tail_next_close,valid_1d,avg_1d,win_rate_1d,strong_rate_1d,valid_3d,avg_3d,win_rate_3d,strong_rate_3d,valid_5d,avg_5d,win_rate_5d,strong_rate_5d,valid_open_buy_1d,avg_open_buy_1d,win_rate_open_buy_1d,strong_rate_open_buy_1d,valid_open_buy_3d,avg_open_buy_3d,win_rate_open_buy_3d,strong_rate_open_buy_3d,valid_open_buy_5d,avg_open_buy_5d,win_rate_open_buy_5d,strong_rate_open_buy_5d,valid_10d,avg_10d,win_rate_10d,strong_rate_10d,strategy_version
推送层级,不推送,6000,0,5464,-18.84,15.9,7.47,5464,-0.06,37.39,3.39,5464,0.21,45.61,8.46,5464,0.21,45.61,8.46,5270,-0.65,42.3,15.58,5085,-1.11,41.85,18.76,5464,0.29,49.4,3.92,5270,-0.59,43.55,13.55,5085,-1.08,43.03,17.42,4646,-1.82,39.95,23.22,v1
推送层级,强推观察,69,69,69,-17.68,18.84,15.94,69,0.72,52.17,2.9,69,2.08,60.87,14.49,69,2.08,60.87,14.49,69,3.36,56.52,23.19,69,4.98,65.22,31.88,69,1.36,59.42,5.8,69,2.62,59.42,18.84,69,4.21,60.87,30.43,68,6.51,61.76,32.35,v1
推送层级,收盘强势观察,235,235,211,-21.04,12.8,4.27,211,0.52,52.13,1.9,211,0.41,48.82,8.06,211,0.41,48.82,8.06,201,-1.16,43.78,13.93,192,-3.11,38.54,20.83,211,-0.06,45.97,4.27,201,-1.84,43.28,12.44,192,-3.74,36.46,18.23,174,-5.28,33.33,17.82,v1
推送层级,普通观察,17,17,17,-19.5,11.76,5.88,17,-2.58,17.65,5.88,17,-4.1,29.41,5.88,17,-4.1,29.41,5.88,16,-9.03,6.25,0.0,13,-11.06,15.38,0.0,17,-1.58,35.29,0.0,16,-5.47,18.75,0.0,13,-7.03,30.77,0.0,10,-14.51,20.0,20.0,v1
推送层级,观察池,1240,0,1196,-22.08,13.63,7.69,1196,0.35,49.83,2.17,1196,0.47,52.76,8.86,1196,0.47,52.76,8.86,1173,0.19,46.89,17.73,1162,-0.36,43.89,21.0,1196,0.14,49.0,3.85,1173,-0.19,45.61,15.52,1162,-0.75,42.6,18.93,1101,0.09,47.5,27.61,v1
推送层级,重点观察,56,56,54,-23.81,9.26,3.7,54,-0.8,44.44,1.85,54,0.2,51.85,12.96,54,0.2,51.85,12.96,53,0.31,45.28,16.98,52,-0.23,50.0,21.15,54,1.04,50.0,9.26,53,1.17,49.06,20.75,52,0.62,53.85,19.23,48,0.95,47.92,29.17,v1
人气排名段,Top10,532,97,492,-22.19,13.01,6.91,492,0.63,41.06,4.67,492,1.06,51.83,11.38,492,1.06,51.83,11.38,483,-0.06,44.93,19.46,470,-0.47,46.17,24.47,492,0.46,51.02,4.88,483,-0.48,44.72,16.77,470,-0.93,45.32,21.91,434,-1.52,44.7,28.11,v1
人气排名段,Top100,3814,27,3497,-18.76,16.04,7.41,3497,-0.12,39.0,2.69,3497,0.06,46.21,7.38,3497,0.06,46.21,7.38,3367,-0.66,42.11,14.32,3266,-1.09,41.89,17.54,3497,0.2,49.44,3.35,3367,-0.63,43.6,12.36,3266,-1.09,43.05,16.47,3007,-1.51,39.87,23.18,v1
人气排名段,Top20,760,100,703,-21.17,15.79,8.11,703,0.26,43.81,3.7,703,0.68,48.08,10.1,703,0.68,48.08,10.1,682,-0.36,43.99,17.74,659,-1.25,43.1,20.94,703,0.43,49.5,5.83,682,-0.65,44.28,15.54,659,-1.55,42.03,18.66,610,-1.44,43.28,24.43,v1
人气排名段,Top3,228,33,209,-20.1,13.4,5.74,209,0.26,40.67,4.78,209,0.69,48.33,11.48,209,0.69,48.33,11.48,204,-0.67,43.63,20.1,199,-1.81,36.68,21.61,209,0.45,50.72,4.31,204,-0.71,41.18,17.16,199,-1.95,37.69,20.1,187,-1.77,43.32,24.6,v1
