group_name,group_value,sample_count,pushed_count,valid_latest,avg_latest,win_rate_latest,strong_rate_latest,valid_tail_next_open,avg_tail_next_open,win_rate_tail_next_open,strong_rate_tail_next_open,valid_tail_next_close,avg_tail_next_close,win_rate_tail_next_close,strong_rate_tail_next_close,valid_1d,avg_1d,win_rate_1d,strong_rate_1d,valid_3d,avg_3d,win_rate_3d,strong_rate_3d,valid_5d,avg_5d,win_rate_5d,strong_rate_5d,valid_open_buy_1d,avg_open_buy_1d,win_rate_open_buy_1d,strong_rate_open_buy_1d,valid_open_buy_3d,avg_open_buy_3d,win_rate_open_buy_3d,strong_rate_open_buy_3d,valid_open_buy_5d,avg_open_buy_5d,win_rate_open_buy_5d,strong_rate_open_buy_5d,valid_10d,avg_10d,win_rate_10d,strong_rate_10d,strategy_version
推送层级,不推送,6197,0,5857,-17.0,21.75,7.85,5857,1.74,44.41,11.9,5857,2.11,50.33,16.08,5857,2.11,50.33,16.08,5640,1.2,46.84,20.53,5458,0.77,45.99,23.16,5857,0.43,50.64,4.25,5640,-0.47,44.57,13.74,5458,-0.91,44.17,17.88,4989,0.17,44.08,26.2,v2
推送层级,强推观察,127,127,127,-21.16,16.54,13.39,127,0.41,56.69,4.72,127,1.62,60.63,17.32,127,1.62,60.63,17.32,126,3.97,57.14,29.37,126,4.12,56.35,29.37,127,1.25,56.69,7.09,126,3.56,54.76,24.6,126,3.67,55.56,27.78,125,7.07,61.6,37.6,v2
推送层级,普通观察,338,338,333,-20.06,18.32,12.61,333,-0.4,47.45,1.2,333,-0.09,47.15,5.71,333,-0.09,47.15,5.71,326,0.93,53.37,18.4,325,1.09,49.54,20.92,333,0.32,48.05,3.3,326,1.27,55.83,17.18,325,1.42,50.77,21.54,318,1.84,53.77,28.62,v2
推送层级,观察池,520,0,477,-23.93,12.58,6.5,477,0.61,52.41,9.01,477,0.89,56.39,13.84,477,0.89,56.39,13.84,452,0.69,50.66,23.23,442,-1.71,40.72,23.08,477,0.39,50.52,4.61,452,-0.03,48.01,17.92,442,-2.42,37.78,19.23,413,-5.48,31.48,19.85,v2
推送层级,重点观察,135,135,133,-19.35,20.3,12.03,133,0.01,51.13,1.5,133,0.85,57.89,7.52,133,0.85,57.89,7.52,133,1.26,53.38,18.05,133,1.92,49.62,22.56,133,0.9,50.38,3.01,133,1.29,53.38,19.55,133,1.94,48.87,20.3,131,1.95,51.15,29.01,v2
人气排名段,Top10,511,104,484,-17.61,24.59,8.06,484,4.43,50.83,17.15,484,4.76,54.96,21.69,484,4.76,54.96,21.69,469,3.59,49.04,27.29,454,2.83,48.9,28.63,484,0.43,48.35,4.55,469,-0.75,40.94,15.14,454,-1.46,43.17,19.82,421,2.14,49.17,29.45,v2
人气排名段,Top100,3664,129,3471,-17.44,19.65,7.78,3471,0.3,43.42,8.47,3471,0.57,48.23,11.87,3471,0.57,48.23,11.87,3333,-0.12,45.09,16.89,3231,-0.54,44.23,19.84,3471,0.33,50.73,3.54,3333,-0.4,45.48,12.6,3231,-0.85,44.13,16.59,2982,-1.27,40.41,23.34,v2
人气排名段,Top20,730,129,690,-18.35,23.91,8.7,690,4.08,47.1,15.51,690,4.59,56.81,22.17,690,4.59,56.81,22.17,668,3.31,51.05,25.15,652,2.8,48.31,27.91,690,0.6,50.87,4.78,668,-0.57,45.36,16.32,652,-1.01,43.71,21.47,600,1.87,49.33,29.33,v2
人气排名段,Top3,219,45,205,-16.7,27.32,11.22,205,3.85,52.68,13.17,205,4.74,58.05,21.46,205,4.74,58.05,21.46,200,4.35,54.0,30.0,192,3.72,48.96,29.17,205,0.91,51.71,4.88,200,0.53,46.5,21.0,192,-0.36,44.79,22.92,177,4.45,53.67,35.59,v2
人气排名段,Top50,2193,193,2077,-18.17,20.27,8.38,2077,1.75,46.36,11.6,2077,2.24,51.85,16.61,2077,2.24,51.85,16.61,2007,1.84,50.12,23.17,1955,1.27,47.47,25.17,2077,0.56,50.75,5.15,2007,0.16,47.28,16.29,1955,-0.38,45.27,19.59,1796,0.7,46.83,28.17,v2
上榜阶段,连续4天及以上,2940,166,2758,-17.19,24.4,7.69,2758,4.23,50.83,16.64,2758,4.49,55.77,20.59,2758,4.49,55.77,20.59,2658,3.56,51.92,26.0,2567,3.23,50.53,28.63,2758,0.34,50.33,3.59,2658,-0.54,44.06,14.9,2567,-0.85,43.9,19.83,2357,1.89,48.92,29.87,v2
上榜阶段,连续第2天,1093,120,1051,-19.55,18.36,8.28,1051,0.1,42.63,7.52,1051,0.54,47.86,12.08,1051,0.54,47.86,12.08,1010,0.12,45.54,17.43,982,-0.44,43.79,21.18,1051,0.5,51.0,4.76,1010,0.06,48.12,14.75,982,-0.48,45.62,18.74,929,-1.57,40.47,24.54,v2
上榜阶段,连续第3天,647,61,624,-20.59,15.22,6.09,624,0.66,42.63,7.85,624,1.45,49.84,13.3,624,1.45,49.84,13.3,615,0.82,47.48,21.14,596,0.11,46.81,21.98,624,0.8,50.8,5.93,615,0.15,45.37,16.26,596,-0.65,44.97,17.45,552,-0.47,42.03,27.54,v2
上榜阶段,首次上榜,2637,253,2494,-16.88,19.33,9.18,2494,-0.71,41.42,6.62,2494,-0.32,47.15,11.27,2494,-0.32,47.15,11.27,2394,-0.85,44.11,16.17,2339,-1.44,41.98,18.26,2494,0.46,50.72,4.37,2394,-0.15,46.66,13.53,2339,-0.78,44.25,16.93,2138,-1.14,41.3,22.5,v2
