group_name,group_value,sample_count,pushed_count,valid_latest,avg_latest,win_rate_latest,strong_rate_latest,valid_tail_next_open,avg_tail_next_open,win_rate_tail_next_open,strong_rate_tail_next_open,valid_tail_next_close,avg_tail_next_close,win_rate_tail_next_close,strong_rate_tail_next_close,valid_1d,avg_1d,win_rate_1d,strong_rate_1d,valid_3d,avg_3d,win_rate_3d,strong_rate_3d,valid_5d,avg_5d,win_rate_5d,strong_rate_5d,valid_10d,avg_10d,win_rate_10d,strong_rate_10d,strategy_version
推送层级,不推送,2559,0,2472,-1.07,33.62,18.2,2472,-0.44,41.22,5.14,2472,0.22,49.35,9.14,2472,0.22,49.35,9.14,2327,0.45,49.03,15.17,2176,0.84,50.09,19.07,1782,1.88,48.15,24.13,v3
推送层级,强推观察,148,148,148,7.85,43.92,33.78,148,0.99,61.49,4.05,148,1.82,63.51,17.57,148,1.82,63.51,17.57,147,4.03,57.14,26.53,145,4.88,58.62,30.34,145,6.93,62.76,37.24,v3
推送层级,普通观察,170,170,167,6.15,47.31,34.73,167,0.37,58.68,1.8,167,1.29,55.09,8.98,167,1.29,55.09,8.98,162,2.12,58.02,15.43,157,3.55,56.05,21.66,151,5.78,58.94,34.44,v3
推送层级,观察池,328,0,316,-4.15,32.28,17.09,316,0.13,56.33,6.01,316,-0.55,50.32,10.44,316,-0.55,50.32,10.44,268,-0.9,41.79,17.54,227,-2.94,36.56,17.62,130,-4.26,33.85,18.46,v3
推送层级,重点观察,115,115,115,2.84,45.22,34.78,115,-0.27,51.3,1.74,115,0.13,49.57,11.3,115,0.13,49.57,11.3,113,1.41,53.1,20.35,111,2.74,54.05,25.23,108,5.16,59.26,32.41,v3
人气排名段,Top10,231,72,224,1.91,37.95,22.32,224,0.53,48.66,9.38,224,1.38,52.23,16.96,224,1.38,52.23,16.96,210,2.04,49.05,20.95,196,1.86,50.51,23.47,161,3.89,53.42,29.19,v3
人气排名段,Top100,1667,85,1616,-1.11,34.16,19.31,1616,-0.46,44.43,4.15,1616,-0.02,50.0,8.17,1616,-0.02,50.0,8.17,1515,0.26,48.25,14.39,1413,0.52,48.76,17.83,1164,1.86,47.34,24.91,v3
人气排名段,Top20,330,83,319,0.89,33.23,20.06,319,0.22,45.14,6.9,319,0.68,53.61,10.34,319,0.68,53.61,10.34,300,0.9,50.0,17.33,280,1.46,51.07,23.21,229,2.88,52.4,26.2,v3
人气排名段,Top3,99,30,96,0.68,46.88,21.88,96,-2.41,38.54,2.08,96,-1.27,45.83,12.5,96,-1.27,45.83,12.5,90,0.06,48.89,22.22,84,1.53,48.81,23.81,69,3.74,52.17,27.54,v3
人气排名段,Top50,993,163,963,-0.43,35.41,21.29,963,-0.09,45.38,4.67,963,0.51,50.05,10.18,963,0.51,50.05,10.18,902,0.9,51.33,16.96,843,1.31,51.48,21.12,693,2.18,50.94,25.83,v3
上榜阶段,连续4天及以上,1163,91,1114,0.3,37.25,19.93,1114,0.02,43.27,6.82,1114,0.53,50.0,9.43,1114,0.53,50.0,9.43,1020,0.47,48.24,15.78,936,1.06,50.11,20.3,740,3.21,53.11,26.22,v3
上榜阶段,连续第2天,524,83,514,0.34,37.94,24.9,514,-0.17,43.39,4.67,514,0.84,54.09,11.67,514,0.84,54.09,11.67,490,1.51,53.47,19.39,464,1.77,53.02,23.92,397,1.82,46.1,27.2,v3
上榜阶段,连续第3天,326,55,318,-1.89,32.39,20.44,318,-0.32,46.54,4.09,318,0.53,53.14,10.69,318,0.53,53.14,10.69,305,0.86,50.82,17.7,283,0.35,50.88,17.67,245,0.85,45.71,25.71,v3
上榜阶段,首次上榜,1307,204,1272,-1.06,32.7,18.63,1272,-0.56,46.54,3.46,1272,-0.26,48.58,8.96,1272,-0.26,48.58,8.96,1202,0.35,48.42,14.73,1133,0.72,48.28,18.53,934,2.05,49.04,24.63,v3
