signal_date,code,name,rank,push_level,emotion_score,observed_days,tail_next_open_pct,tail_next_close_pct,tail_next_max_gain_pct,latest_return_pct,best_return_available,return_3d_pct,return_5d_pct,return_10d_pct,max_gain_3d_pct,max_gain_5d_pct,max_gain_10d_pct,reasons,risks,strategy_version
2026-04-16,301666,大普微,5,不推送,42.0,20,7.14,-5.34,8.77,263.52,263.52,-12.27,-9.23,30.03,8.77,8.77,38.42,人气Top10；收盘承接较强；站上20日线且不过热,-,v2
2026-05-06,301666,大普微,64,不推送,29.0,10,10.41,19.18,20.0,179.56,183.02,58.75,65.41,179.56,59.91,83.36,183.02,当日强涨；温和放量；近5日强势延续,短线涨幅偏高；偏离20日线较大；人气排名明显回落,v2
2026-04-13,603629,利通电子,79,不推送,22.0,26,7.32,10.0,10.0,169.19,169.19,31.88,47.61,49.28,33.12,51.31,63.76,温和放量；近5日趋势升温；站上20日线且不过热,收盘承接偏弱,v2
2026-04-21,688820,盛合晶微,30,不推送,4.0,20,-0.83,23.94,25.53,145.21,145.21,22.4,21.33,65.69,34.38,34.38,68.56,人气Top50；站上20日线且不过热,收盘承接偏弱,v2
2026-04-14,603629,利通电子,33,强推观察,116.0,25,2.0,10.01,10.01,144.72,144.72,31.88,26.57,49.28,31.88,37.55,49.28,人气Top50；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；站上20日线且不过热；连续上榜确认；人气排名明显上升；v2强势延续修正；v2连榜升温修正；v2低分涨停修正,-,v2
2026-04-10,002297,博云新材,44,不推送,0.0,27,10.02,10.02,10.02,142.08,142.08,33.15,61.11,103.1,33.15,61.11,104.46,人气Top50；放量仍可控,当日转弱；收盘承接偏弱,v2
2026-04-15,603629,利通电子,18,强推观察,114.0,24,0.0,8.98,10.01,122.46,122.46,21.98,23.02,49.28,25.04,25.28,49.28,人气Top20；当日涨停附近；收在日内高位；温和放量；近5日趋势升温；连续上榜确认；人气排名明显上升；v2强势延续修正；v2连榜升温修正；v2低分涨停修正,偏离20日线较大,v2
2026-04-13,002297,博云新材,54,普通观察,60.0,26,10.02,10.02,10.02,120.03,120.03,33.11,61.09,69.95,33.11,61.09,85.84,当日涨停附近；收在日内高位；近5日趋势升温；站上20日线且不过热；连续上榜确认,一字或近似一字，参与点差,v2
2026-04-24,688808,联讯仪器,1,不推送,38.0,17,2.63,10.14,12.64,119.65,119.65,16.15,27.41,42.8,17.65,32.67,52.07,人气Top3；站上20日线且不过热,-,v2
2026-04-10,600396,华电辽能,79,不推送,0.0,27,0.15,9.94,9.94,119.28,119.28,21.23,7.53,38.55,30.42,30.42,62.65,温和放量,当日转弱；收盘承接偏弱；近5日趋势未确认,v2
2026-05-06,601991,大唐发电,11,不推送,12.0,13,10.1,10.1,10.1,65.62,107.69,33.17,61.06,101.44,33.17,61.06,107.69,人气Top20；温和放量；站上20日线且不过热,当日转弱；收盘承接偏弱；近5日趋势未确认,v2
2026-05-07,301666,大普微,92,观察池,38.0,8,-3.55,16.78,17.63,105.65,105.65,21.68,45.97,,34.89,60.15,,当日涨停附近；收盘承接较强；温和放量；连续上榜确认；市场强势且个股相对强势,短线涨幅过热；远离20日线过多；涨停封板不可买,v2
2026-04-16,603629,利通电子,16,普通观察,67.0,23,0.79,10.01,10.01,104.12,104.12,5.57,21.52,50.66,14.73,24.17,50.67,人气Top20；当日强涨；收盘承接较强；温和放量；近5日强势延续；连续上榜确认,短线涨幅偏高；偏离20日线较大,v2
2026-04-17,600396,华电辽能,95,不推送,0.0,22,-1.12,3.5,5.18,103.92,103.92,25.21,28.85,52.8,25.21,51.26,58.26,温和放量；近5日趋势升温；持续霸榜,当日转弱；收盘承接偏弱；仍在20日线下方；热度可能进入后段；人气排名明显回落,v2
2026-04-10,002281,光迅科技,18,不推送,21.0,27,-0.49,5.48,7.48,100.21,100.21,-1.04,8.36,19.37,7.48,8.36,25.83,人气Top20；温和放量；近5日强势延续；站上20日线且不过热,当日转弱；收盘承接偏弱；短线涨幅偏高,v2
